strategy,window_sec,events,events_with_trades,obs_mean_min_net_roi_pct,rand_mean_pick_net_roi_pct,roi_diff_ci_lo,roi_diff_ci_hi,roi_p_strat_gt_rand,obs_hit_rate_le_099,rand_hit_rate_le_099,hit_rate_diff_ci_lo,hit_rate_diff_ci_hi,hit_rate_p_strat_gt_rand
team_total_over_locked,180,23,23,49.44294986029601,2.874364794613873,0.0,87.26816690187431,0.0332,0.21739130434782608,0.19254658385093168,0.0,0.04761904761904759,0.3555
team_total_under_loss_ge2,180,18,18,0.556302526129469,0.35940505052222577,0.04523903641943227,0.3249820924263408,0.0028,0.2777777777777778,0.17592592592592593,0.03030303030303031,0.16666666666666669,0.0111
total_over_locked,180,33,33,219.15864587805495,19.086958199380152,58.54102592945884,330.05723576900436,0.0,0.3333333333333333,0.2772040492418961,0.012317303158887294,0.09119016675130298,0.0011
total_under_loss_ge2,180,35,35,0.6919028294525105,0.35296159232122415,0.1820966242462944,0.4662658434459785,0.0,0.37142857142857144,0.18472582972582977,0.09874717570441252,0.270785233285233,0.0002
btts_yes_locked,300,23,23,430.5137045622697,9.008468691396926,0.033606610490002076,807.7779045600113,0.0023,0.17391304347826086,0.07771349139635585,0.0,0.17019920752952428,0.0407
draw_no_lead_ge2,300,11,11,1.5018670365875757,0.6619344118091861,0.11221787501238151,1.4406320306150808,0.0001,0.2727272727272727,0.19038218213095062,0.0,0.15096599942659056,0.0301
leader_yes_lead_ge2,300,16,16,1.2894854374948137,0.3274396227182165,0.15829494193966662,1.6068861546081126,0.0001,0.25,0.07304318568275546,0.04832451499118165,0.2831309029075913,0.0102
loser_no,300,22,22,0.5187666030019993,0.265302909514088,0.022586730664394886,0.42893855821031146,0.0044,0.09090909090909091,0.05111124507676232,0.0,0.07296271735926908,0.1275
spread_tight_loss_ge2,300,34,34,21.46560414998621,1.8555384065613134,0.38039254486275564,34.813114086097706,0.0,0.4411764705882353,0.32986523040588783,0.0481934001670844,0.168640873015873,0.0
team_total_over_locked,300,29,29,328.27278088625377,27.271028569009445,40.66385540717034,513.3753397018819,0.0043,0.27586206896551724,0.2253202975671738,0.0,0.0862183159148211,0.0415
team_total_under_loss_ge2,300,24,24,0.7026798371619458,0.3650652466416798,0.10812899997729974,0.5401833448324258,0.0003,0.25,0.18194444444444446,0.022222222222222227,0.10888888888888887,0.0041
total_over_locked,300,34,34,895.6135283919909,100.33890749001097,212.26572493598601,1235.8717908408864,0.0,0.35294117647058826,0.3286080074098128,0.008355169837649612,0.037605806730289515,0.0003
total_under_loss_ge2,300,36,36,1.8038745129674156,0.6883734150826357,0.6844794455481237,1.482250866649659,0.0,0.6944444444444444,0.3690669966881755,0.23967413568011448,0.40880997467440167,0.0
btts_yes_locked,480,23,23,747.5794569233743,43.66620103849919,0.05335366753860428,1245.340932923469,0.0028,0.17391304347826086,0.1133675177153438,0.0,0.10711900711900714,0.0407
draw_no_lead_ge2,480,14,14,1.802637852477123,0.8205303547417021,0.22829940894763256,1.5875072982088712,0.0,0.2857142857142857,0.19794745728480073,0.0037735849056603765,0.14981836484593838,0.0076
leader_yes_lead_ge2,480,16,16,1.880571658851777,0.5019211591528476,0.3056100612841359,2.198082808806438,0.0,0.3125,0.1302556380490529,0.06749025341130603,0.2915909791215153,0.0023
loser_no,480,23,23,0.8613679009249978,0.4501248629054842,0.13424109962351113,0.6348934841994966,0.0,0.2608695652173913,0.1194310564645721,0.03577817531305903,0.2323632643796315,0.0041
spread_tight_loss_ge2,480,36,36,21.42735963658417,1.9895911681113188,1.1441044486046845,33.86483547533879,0.0,0.5833333333333334,0.4171988073903842,0.09156405442149647,0.23163717071657447,0.0
team_total_over_locked,480,30,30,651.5741423822743,66.09296247072365,92.82544970111047,975.4637878982943,0.0,0.3333333333333333,0.2598156523428263,0.023138840326340282,0.11766336019053411,0.0038
team_total_under_loss_ge2,480,31,31,1.1275004083412177,0.5311064479309293,0.19634267500787256,0.9049105072766994,0.0,0.2903225806451613,0.21956538085570343,0.022324988607883345,0.10986467236467232,0.0005
total_over_locked,480,35,35,1726.4705978899822,122.55091521035294,543.3037567495463,2529.468421165843,0.0,0.42857142857142855,0.3573607828215084,0.018719779919380897,0.11238200777141177,0.0
total_under_loss_ge2,480,37,37,4.384593299573544,1.5228426030950353,1.7286535903244047,3.764600694532434,0.0,0.8378378378378378,0.5735131690369998,0.19532147921717571,0.3312350534715751,0.0
