strategy_class,strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,caution
locked_after_result,team_total_over_locked,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: Mexico O/U 1.5,Over,999,1.5,,,Mexico,2,,,True,3,976.31,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,976.31,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Korea Republic vs. Czechia: Korea Republic O/U 1.5,Over,999,1.5,,,Korea Republic,2,,,True,1,88.88,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,88.88,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Korea Republic vs. Czechia: O/U 2.5,Over,999,2.5,,3,,,,,True,6,1194.66,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,1194.66,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Korea Republic vs. Czechia: Both Teams to Score,Yes,999,,,,,,,,True,13,567.33,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,13,567.33,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-12,Canada vs. Bosnia-Herzegovina,1-1,0,,Canada vs. Bosnia and Herzegovina: Both Teams to Score,Yes,999,,,,,,,,True,15,13143.82,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,15,13143.82,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-13,United States vs. Paraguay,4-1,3,United States,United States vs. Paraguay: Paraguay O/U 0.5,Over,999,0.5,,,Paraguay,1,,,True,5,228.66,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,228.66,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-13,Qatar vs. Switzerland,1-1,0,,Qatar vs. Switzerland: Switzerland O/U 0.5,Over,999,0.5,,,Switzerland,1,,,True,1,531.91,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,531.91,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-13,United States vs. Paraguay,4-1,3,United States,United States vs. Paraguay: Both Teams to Score,Yes,999,,,,,,,,True,24,2239.38,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,24,2239.38,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-13,Brazil vs. Morocco,1-1,0,,Brazil vs. Morocco: O/U 1.5,Over,999,1.5,,2,,,,,True,5,922.28,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,922.28,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-14,Haiti vs. Scotland,0-1,1,Scotland,Haiti vs. Scotland: O/U 0.5,Over,999,0.5,,1,,,,,True,1,1.04,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,1.04,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-14,Haiti vs. Scotland,0-1,1,Scotland,Haiti vs. Scotland: Scotland O/U 0.5,Over,999,0.5,,,Scotland,1,,,True,1,4700.0,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4700.0,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-13,Brazil vs. Morocco,1-1,0,,Brazil vs. Morocco: Both Teams to Score,Yes,999,,,,,,,,True,14,2825.09,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,14,2825.09,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Australia vs. Türkiye: O/U 1.5,Over,999,1.5,,2,,,,,True,3,519.62,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,519.62,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Germany vs. Curaçao: Both Teams to Score,Yes,999,,,,,,,,True,1,64.51,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,64.51,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-14,Netherlands vs. Japan,2-2,0,,Netherlands vs. Japan: Both Teams to Score,Yes,999,,,,,,,,True,14,756.31,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,14,756.31,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Tunisia O/U 0.5,Over,999,0.5,,,Tunisia,1,,,True,2,155.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,155.11,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Sweden vs. Tunisia: Both Teams to Score,Yes,999,,,,,,,,True,1,5.93,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,5.93,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-15,Belgium vs. Egypt,1-1,0,,Belgium vs. Egypt: O/U 1.5,Over,999,1.5,,2,,,,,True,8,3194.25,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,3194.25,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-15,Belgium vs. Egypt,1-1,0,,Belgium vs. Egypt: Both Teams to Score,Yes,999,,,,,,,,True,8,106.87,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,106.87,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
